file,target,internal_deps,openvino,genai,tensorflow,mediapipe,grpc,protobuf,other_external,total_deps
src/anonymous_input_name.cpp,//src:anonymous_input_name,0,0,0,0,0,0,0,0,0
src/audio/audio_utils.cpp,//src/audio:audio_utils,3,0,0,0,0,0,0,5,8
src/audio/speech_to_text/s2t_calculator.cc,//src/audio/speech_to_text:s2t_calculator,16,1,1,0,1,0,1,12,32
src/audio/speech_to_text/s2t_calculator.pb.cc,//src/audio/speech_to_text:s2t_calculator_cc_proto,0,0,0,0,1,0,1,1,3
src/audio/speech_to_text/s2t_calculator_options_lib.cc,//src/audio/speech_to_text:s2t_calculator_options_registry,1,0,0,0,1,0,1,8,11
src/audio/speech_to_text/stt_node_initializer.cpp,//src/audio/speech_to_text:s2t_calculator,16,1,1,0,1,0,1,12,32
src/audio/text_to_speech/t2s_calculator.cc,//src/audio/text_to_speech:t2s_calculator,16,1,1,0,1,0,1,12,32
src/audio/text_to_speech/t2s_calculator.pb.cc,//src/audio/text_to_speech:t2s_calculator_cc_proto,0,0,0,0,1,0,1,1,3
src/audio/text_to_speech/t2s_calculator_options_lib.cc,//src/audio/text_to_speech:t2s_calculator_options_registry,1,0,0,0,1,0,1,8,11
src/audio/text_to_speech/t2s_servable.cpp,//src/audio/text_to_speech:t2s_servable,5,1,1,0,1,0,1,11,20
src/audio/text_to_speech/tts_node_initializer.cpp,//src/audio/text_to_speech:t2s_calculator,16,1,1,0,1,0,1,12,32
src/capi_frontend/buffer.cpp,//src:libovmscapibuffer,2,0,0,0,0,0,0,4,6
src/capi_frontend/capi.cpp,//src:ovms_lib,242,1,1,1,1,1,1,71,319
src/capi_frontend/capi_backend_impls.cpp,//src:capi_backend_impl,71,1,0,0,0,0,0,9,81
src/capi_frontend/capi_dag_utils.cpp,//src:capi_dag_utils,23,1,0,0,0,0,0,4,28
src/capi_frontend/capi_request_utils.cpp,//src:capi_request_utils,22,1,0,0,0,0,0,4,27
src/capi_frontend/capi_utils.cpp,//src:libovmscapi_utils,22,1,0,0,0,0,0,4,27
