file,unique_headers,unique_project_headers
src/anonymous_input_name.cpp,148,1
src/audio/audio_utils.cpp,394,4
src/audio/speech_to_text/s2t_calculator.cc,885,12
src/audio/speech_to_text/s2t_calculator.pb.cc,336,1
src/audio/speech_to_text/stt_node_initializer.cpp,867,8
src/audio/text_to_speech/t2s_calculator.cc,850,8
src/audio/text_to_speech/t2s_calculator.pb.cc,336,1
src/audio/text_to_speech/t2s_servable.cpp,607,5
src/audio/text_to_speech/tts_node_initializer.cpp,552,7
src/capi_frontend/buffer.cpp,381,3
src/capi_frontend/capi.cpp,1298,82
src/capi_frontend/capi_backend_impls.cpp,618,50
src/capi_frontend/capi_dag_utils.cpp,462,21
src/capi_frontend/capi_request_utils.cpp,443,12
src/capi_frontend/capi_utils.cpp,459,19
src/capi_frontend/capi_validation.cpp,462,20
src/capi_frontend/capimodule.cpp,419,8
src/capi_frontend/deserialization.cpp,548,23
src/capi_frontend/inferenceparameter.cpp,455,15
src/capi_frontend/inferencerequest.cpp,346,8
src/capi_frontend/inferenceresponse.cpp,432,8
src/capi_frontend/inferencetensor.cpp,430,6
src/capi_frontend/servablemetadata.cpp,350,6
src/capi_frontend/server_settings.cpp,175,2
src/capi_frontend/tensor_conversion.cpp,602,15
src/cleaner_utils.cpp,385,6
src/cli_parser.cpp,449,17
src/color_format_configuration.cpp,453,3
src/config.cpp,535,21
src/config_export_module/config_export.cpp,471,9
src/custom_nodes/add_one/add_one.cpp,266,6
src/custom_nodes/common/buffersqueue.cpp,248,2
src/custom_nodes/common/custom_node_library_internal_manager.cpp,257,4
src/custom_nodes/common/custom_node_library_internal_manager.cpp,257,4
src/custom_nodes/east_ocr/east_ocr.cpp,394,5
src/custom_nodes/face_blur/face_blur.cpp,393,4
src/custom_nodes/horizontal_ocr/horizontal_ocr.cpp,393,4
src/custom_nodes/image_transformation/image_transformation.cpp,393,4
src/custom_nodes/model_zoo_intel_object_detection/model_zoo_intel_object_detection.cpp,410,7
src/customloaders.cpp,380,4
src/dags/custom_node.cpp,475,29
src/dags/custom_node_library_manager.cpp,436,8
src/dags/custom_node_output_allocator.cpp,380,4
src/dags/customnodesession.cpp,464,23
src/dags/dag_capi.cpp,642,77
src/dags/dag_kfs.cpp,774,73
src/dags/dag_tfs.cpp,1243,77
src/dags/dl_node.cpp,561,38
src/dags/dlnodesession.cpp,562,38
src/dags/gathernodeinputhandler.cpp,491,16
src/dags/node.cpp,495,18
src/dags/node_library.cpp,153,2
src/dags/node_library_utils.cpp,486,13
src/dags/nodeinputhandler.cpp,439,6
src/dags/nodesession.cpp,447,13
src/dags/nodesessionmetadata.cpp,396,4
src/dags/nodestreamidguard.cpp,484,9
src/dags/pipeline.cpp,458,17
src/dags/pipeline_config_parser.cpp,499,29
src/dags/pipeline_factory.cpp,465,24
src/dags/pipelinedefinition.cpp,516,39
src/dags/pipelinedefinitionstatus.cpp,389,4
src/deserialization_common.cpp,542,14
src/drogon_http_async_writer_impl.cpp,565,4
src/drogon_http_server.cpp,570,9
src/embeddings/embeddings_api.cpp,594,6
src/embeddings/embeddings_calculator_ov.cc,914,26
src/embeddings/embeddings_calculator_ov.pb.cc,336,1
src/embeddings/embeddings_node_initializer.cpp,842,15
src/embeddings/embeddings_servable.cpp,1109,14
src/executingstreamidguard.cpp,481,8
src/filesystem/azurefilesystem.cpp,1568,8
src/filesystem/azurestorage.cpp,1566,7
src/filesystem/filesystem.cpp,432,6
src/filesystem/filesystemfactory.cpp,2183,11
src/filesystem/gcsfilesystem.cpp,660,7
src/filesystem/localfilesystem.cpp,431,6
src/filesystem/s3filesystem.cpp,869,7
src/get_model_metadata_impl.cpp,1242,49
src/global_sequences_viewer.cpp,443,6
src/graph_export/embeddings_graph_cli_parser.cpp,325,5
src/graph_export/graph_cli_parser.cpp,324,4
src/graph_export/graph_export.cpp,804,14
src/graph_export/image_generation_graph_cli_parser.cpp,325,5
src/graph_export/rerank_graph_cli_parser.cpp,325,5
src/graph_export/s2t_graph_cli_parser.cpp,325,5
src/graph_export/t2s_graph_cli_parser.cpp,325,5
src/grpc_utils.cpp,360,2
src/grpcservermodule.cpp,1204,36
src/http_frontend/http_graph_executor_impl.cpp,938,12
src/http_frontend/multi_part_parser_drogon_impl.cpp,425,2
src/http_rest_api_handler.cpp,1691,105
src/http_server.cpp,822,24
src/httpservermodule.cpp,607,12
src/image_conversion.cpp,551,3
