file,target,rdep_targets,impacted_srcs
src/anonymous_input_name.cpp,//src:anonymous_input_name,72,179
src/audio/audio_utils.cpp,//src/audio:audio_utils,19,133
src/audio/speech_to_text/s2t_calculator.cc,//src/audio/speech_to_text:s2t_calculator,17,130
src/audio/speech_to_text/s2t_calculator.pb.cc,//src/audio/speech_to_text:s2t_calculator_cc_proto,20,132
src/audio/speech_to_text/s2t_calculator_options_lib.cc,//src/audio/speech_to_text:s2t_calculator_options_registry,1,1
src/audio/speech_to_text/stt_node_initializer.cpp,//src/audio/speech_to_text:s2t_calculator,17,130
src/audio/text_to_speech/t2s_calculator.cc,//src/audio/text_to_speech:t2s_calculator,17,130
src/audio/text_to_speech/t2s_calculator.pb.cc,//src/audio/text_to_speech:t2s_calculator_cc_proto,21,133
src/audio/text_to_speech/t2s_calculator_options_lib.cc,//src/audio/text_to_speech:t2s_calculator_options_registry,1,1
src/audio/text_to_speech/t2s_servable.cpp,//src/audio/text_to_speech:t2s_servable,18,131
src/audio/text_to_speech/tts_node_initializer.cpp,//src/audio/text_to_speech:t2s_calculator,17,130
src/capi_frontend/buffer.cpp,//src:libovmscapibuffer,46,159
src/capi_frontend/capi.cpp,//src:ovms_lib,16,128
src/capi_frontend/capi_backend_impls.cpp,//src:capi_backend_impl,17,130
src/capi_frontend/capi_dag_utils.cpp,//src:capi_dag_utils,18,130
src/capi_frontend/capi_request_utils.cpp,//src:capi_request_utils,21,134
src/capi_frontend/capi_utils.cpp,//src:libovmscapi_utils,22,134
src/capi_frontend/capi_validation.cpp,//src:capi_validation,18,131
src/capi_frontend/capimodule.cpp,//src:capimodule,17,129
src/capi_frontend/deserialization.cpp,//src:capi_deserialization,19,132
src/capi_frontend/inferenceparameter.cpp,//src:capiinferenceparameter,28,140
src/capi_frontend/inferencerequest.cpp,//src:inferencerequest,26,138
src/capi_frontend/inferenceresponse.cpp,//src:inferenceresponse,26,138
src/capi_frontend/inferencetensor.cpp,//src:inferencetensor,28,140
src/capi_frontend/servablemetadata.cpp,//src:libovms_capi_servable_metadata,17,129
src/capi_frontend/server_settings.cpp,//src:libovms_server_settings,39,152
src/capi_frontend/tensor_conversion.cpp,//src:capi_backend_impl,17,130
src/cleaner_utils.cpp,//src:cleaner_utils,19,131
src/cli_parser.cpp,//src:libovms_cliparser,24,137
src/color_format_configuration.cpp,//src:libovmscolor_format_configuration,40,153
src/config.cpp,//src:libovms_config,23,136
src/config_export_module/config_export.cpp,//src/config_export_module:config_export,19,131
