file,pp_lines,pp_bytes
src/anonymous_input_name.cpp,17371,638262
src/audio/audio_utils.cpp,85386,3209156
src/audio/speech_to_text/s2t_calculator.cc,159402,6285090
src/audio/speech_to_text/s2t_calculator.pb.cc,75911,2906009
src/audio/speech_to_text/stt_node_initializer.cpp,156870,6194126
src/audio/text_to_speech/t2s_calculator.cc,157754,6229913
src/audio/text_to_speech/t2s_calculator.pb.cc,76449,2930661
src/audio/text_to_speech/t2s_servable.cpp,118068,4661851
src/audio/text_to_speech/tts_node_initializer.cpp,110988,4349445
src/capi_frontend/buffer.cpp,68995,2544200
src/capi_frontend/capi.cpp,281468,11686476
src/capi_frontend/capi_backend_impls.cpp,114679,4381169
src/capi_frontend/capi_dag_utils.cpp,82388,3073235
src/capi_frontend/capi_request_utils.cpp,79114,2930601
src/capi_frontend/capi_utils.cpp,80935,3009165
src/capi_frontend/capi_validation.cpp,81103,3024992
src/capi_frontend/capimodule.cpp,74455,2720112
src/capi_frontend/deserialization.cpp,105144,3939144
src/capi_frontend/inferenceparameter.cpp,80675,2999526
src/capi_frontend/inferencerequest.cpp,71846,2648772
src/capi_frontend/inferenceresponse.cpp,77871,2886816
src/capi_frontend/inferencetensor.cpp,77824,2884526
src/capi_frontend/servablemetadata.cpp,69473,2523969
src/capi_frontend/server_settings.cpp,27733,975906
src/capi_frontend/tensor_conversion.cpp,111693,4185974
src/cleaner_utils.cpp,69702,2562426
src/cli_parser.cpp,89721,3228075
src/color_format_configuration.cpp,79241,2939827
src/config.cpp,98023,3620910
src/config_export_module/config_export.cpp,96033,3615992
src/custom_nodes/add_one/add_one.cpp,49705,1719622
src/custom_nodes/common/buffersqueue.cpp,43326,1479081
src/custom_nodes/common/custom_node_library_internal_manager.cpp,48427,1661275
src/custom_nodes/common/custom_node_library_internal_manager.cpp,48427,1661275
src/custom_nodes/east_ocr/east_ocr.cpp,85579,3134490
src/custom_nodes/face_blur/face_blur.cpp,85241,3117816
src/custom_nodes/horizontal_ocr/horizontal_ocr.cpp,85330,3121728
src/custom_nodes/image_transformation/image_transformation.cpp,85246,3119483
src/custom_nodes/model_zoo_intel_object_detection/model_zoo_intel_object_detection.cpp,92394,3359716
src/customloaders.cpp,68296,2518229
src/dags/custom_node.cpp,83414,3080518
src/dags/custom_node_library_manager.cpp,83683,3019696
src/dags/custom_node_output_allocator.cpp,67928,2505580
src/dags/customnodesession.cpp,82213,3034734
src/dags/dag_capi.cpp,116899,4403929
src/dags/dag_kfs.cpp,160747,6373215
src/dags/dag_tfs.cpp,269415,11108244
src/dags/dl_node.cpp,99585,3761198
src/dags/dlnodesession.cpp,99769,3767593
src/dags/gathernodeinputhandler.cpp,86263,3202396
src/dags/node.cpp,86759,3224501
src/dags/node_library.cpp,17463,641940
